Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675372221.3176396,0,76221,0,GPS1_frame,62.32009999999991,22.699999999999818,5.0,1.3,588098.4445514595,6910997.953711794,21.0:10.0,34,V
1675372222.3171077,0,76222,0,GPS1_frame,62.32009999999991,22.699999999999818,5.0,1.3,588098.4445514595,6910997.953711794,21.0:10.0,34,V
1675372223.3238165,0,76223,0,GPS1_frame,62.31999999999971,22.699999999999818,5.0,1.3,588098.737283781,6910986.815880059,21.0:10.0,34,V
1675372224.3217103,0,76224,0,GPS1_frame,62.31999999999971,22.699800000000323,5.2,1.3,588088.3744547778,6910986.543533059,21.0:10.0,34,V
1675372225.335285,0,76225,0,GPS1_frame,62.32049999999981,22.698999999999614,4.9,1.3,588045.4603292515,6911041.143641946,21.0:10.0,34,V
1675372226.3191833,0,76226,0,GPS1_frame,62.32089999999971,22.698599999999715,4.8,1.3,588023.5650369412,6911085.150656025,21.0:10.0,34,V
1675372227.3191464,0,76227,0,GPS1_frame,62.32129999999961,22.698199999999815,5.0,1.3,588001.6702889246,6911129.157811128,21.0:10.0,34,V
1675372228.3312225,0,76228,0,GPS1_frame,62.32179999999971,22.697699999999713,5.1,1.3,587974.3026193058,6911184.166953337,21.0:10.0,34,V
1675372229.3190691,0,76229,0,GPS1_frame,62.32210000000032,22.69719999999961,5.5,1.3,587947.5203120912,6911216.900627829,21.0:10.0,34,V
1675372230.3328063,0,76230,0,GPS1_frame,62.32250000000022,22.696799999999712,5.4,1.3,587925.6273335253,6911260.908272684,21.0:10.0,34,V
1675372231.3168342,0,76231,0,GPS1_frame,62.32300000000032,22.696399999999812,5.7,1.3,587903.4427790358,6911316.053906353,21.0:10.0,34,V
1675372232.3285728,0,76232,0,GPS1_frame,62.323599999999715,22.695800000000418,6.1,1.3,587870.6052499607,6911382.065852329,21.0:10.0,34,V
1675372233.322073,0,76233,0,GPS1_frame,62.32420000000002,22.695300000000316,6.1,1.3,587842.9496438622,6911448.213902888,21.0:10.0,34,V
1675372234.4091504,0,76234,0,GPS1_frame,62.32470000000012,22.694900000000416,6.1,1.3,587820.7675198796,6911503.360076514,21.0:10.0,34,V
1675372235.319945,0,76235,0,GPS1_frame,62.32539999999972,22.694300000000112,6.1,1.3,587787.6414908932,6911580.510679491,21.0:10.0,34,V
1675372236.4406145,0,76236,0,GPS1_frame,62.32600000000002,22.693900000000212,6.0,1.3,587765.1693344882,6911646.795074821,21.0:10.0,34,V
1675372237.3195038,0,76237,0,GPS1_frame,62.326600000000326,22.693500000000313,6.5,1.3,587742.6979925552,6911713.07961931,21.0:10.0,34,V
1675372238.3297005,0,76238,0,GPS1_frame,62.32719999999972,22.693100000000413,7.0,1.3,587720.2274651057,6911779.364312857,21.0:10.0,34,V
1675372239.3188815,0,76239,0,GPS1_frame,62.32759999999962,22.69300000000021,7.0,1.3,587713.8810931189,6911823.780173473,21.0:10.0,34,V
1675372240.3195953,0,76240,0,GPS1_frame,62.328199999999924,22.692699999999604,7.0,1.3,587696.5917652757,6911890.200624927,21.0:10.0,34,V
1675372241.3213012,0,76241,0,GPS1_frame,62.32880000000023,22.692200000000412,7.2,1.3,587668.9432252562,6911956.350093739,21.0:10.0,34,V
1675372242.322369,0,76242,0,GPS1_frame,62.32970000000023,22.691499999999905,7.8,1.3,587630.0622056947,6912055.642452485,21.0:10.0,34,V
1675372243.3191106,0,76243,0,GPS1_frame,62.33039999999983,22.6908999999996,8.1,1.3,587596.9453165336,6912132.794916845,21.0:10.0,34,V
1675372244.3201873,0,76244,0,GPS1_frame,62.331199999999626,22.690300000000207,8.7,1.3,587563.5387635307,6912221.085584007,21.0:10.0,34,V
1675372245.3232527,0,76245,0,GPS1_frame,62.33190000000013,22.689699999999903,9.1,1.3,587530.4248318167,6912298.238697397,21.0:10.0,34,V
1675372246.3204596,0,76246,0,GPS1_frame,62.332400000000234,22.6890999999996,9.6,1.3,587497.8941058399,6912353.116362275,21.0:10.0,34,V
1675372247.3238525,0,76247,0,GPS1_frame,62.33299999999963,22.6884,10.1,1.3,587459.894421286,6912418.997013131,21.0:10.0,34,V
1675372248.3235438,0,76248,0,GPS1_frame,62.33349999999973,22.687799999999697,10.7,1.3,587427.365924855,6912473.875353521,21.0:10.0,34,V
1675372249.3212585,0,76249,0,GPS1_frame,62.33399999999983,22.687399999999798,11.2,1.3,587405.1964947705,6912529.024242429,21.0:10.0,34,V
1675372250.3195708,0,76250,0,GPS1_frame,62.33460000000014,22.687299999999595,11.7,1.3,587398.2739700979,6912595.716485341,21.0:10.0,34,V
1675372251.3202622,0,76251,0,GPS1_frame,62.335799999999836,22.6871000000001,12.8,1.3,587384.429511259,6912729.101022744,21.0:10.0,34,V
1675372252.3226454,0,76252,0,GPS1_frame,62.33680000000004,22.686899999999696,13.6,1.3,587371.166883286,6912840.209830378,21.0:10.0,34,V
1675372253.323871,0,76253,0,GPS1_frame,62.33770000000004,22.686399999999594,14.3,1.3,587342.6602470677,6912939.7756574135,21.0:10.0,34,V
1675372254.3237803,0,76254,0,GPS1_frame,62.33820000000014,22.685999999999694,14.7,1.3,587320.4948510781,6912994.925103272,21.0:10.0,34,V
1675372255.369972,0,76255,0,GPS1_frame,62.339100000000144,22.6854000000003,15.0,1.3,587286.8126279671,6913094.356404682,21.0:10.0,34,V
