Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675372961.2513983,0,76961,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.3,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372962.2802281,0,76962,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.2,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372963.2677805,0,76963,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372964.2685115,0,76964,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372965.2800767,0,76965,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372966.2693977,0,76966,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372967.251797,0,76967,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372968.2537332,0,76968,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372969.2718692,0,76969,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372970.2675605,0,76970,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372971.2761133,0,76971,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372972.3063042,0,76972,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372973.25255,0,76973,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372974.2525098,0,76974,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372975.2559426,0,76975,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372976.3022106,0,76976,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372977.2681124,0,76977,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372978.2554433,0,76978,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372979.2971938,0,76979,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:22.0,34,V
1675372980.2748907,0,76980,0,GPS1_frame,62.32049999999981,22.677700000000186,11.2,1.2,586941.8336414853,6911012.336124889,21.0:23.0,34,V
1675372981.2516353,0,76981,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372982.2515845,0,76982,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372983.2517262,0,76983,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372984.2493126,0,76984,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372985.2500694,0,76985,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675372986.266683,0,76986,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.2,586947.3039138027,6911001.332617603,21.0:23.0,34,V
