Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675373302.2389486,0,77302,0,GPS1_frame,62.33399999999983,22.709200000000237,7.7,1.2,588534.2197668708,6912558.672119717,21.0:28.0,34,V
1675373303.2393994,0,77303,0,GPS1_frame,62.33399999999983,22.709200000000237,7.7,1.2,588534.2197668708,6912558.672119717,21.0:28.0,34,V
1675373304.237977,0,77304,0,GPS1_frame,62.33399999999983,22.709200000000237,7.7,1.2,588534.2197668708,6912558.672119717,21.0:28.0,34,V
1675373305.2487934,0,77305,0,GPS1_frame,62.33399999999983,22.709200000000237,7.7,1.2,588534.2197668708,6912558.672119717,21.0:28.0,34,V
1675373306.2371802,0,77306,0,GPS1_frame,62.33430000000044,22.709399999999732,7.9,1.2,588543.694575988,6912592.35934522,21.0:28.0,34,V
1675373307.2590368,0,77307,0,GPS1_frame,62.334499999999935,22.709499999999935,8.0,1.2,588548.2846980398,6912614.771879756,21.0:28.0,34,V
1675373308.2778866,0,77308,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373309.247104,0,77309,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373310.2426448,0,77310,0,GPS1_frame,62.33460000000014,22.709499999999935,8.2,1.1,588547.9902900845,6912625.909701589,21.0:28.0,34,V
1675373311.2437522,0,77311,0,GPS1_frame,62.33460000000014,22.709499999999935,8.2,1.1,588547.9902900845,6912625.909701589,21.0:28.0,34,V
1675373312.3034556,0,77312,0,GPS1_frame,62.33460000000014,22.709499999999935,8.2,1.1,588547.9902900845,6912625.909701589,21.0:28.0,34,V
1675373313.2468848,0,77313,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373314.2739387,0,77314,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373315.239703,0,77315,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373316.2813845,0,77316,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373317.2601612,0,77317,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373318.2602642,0,77318,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373319.2420592,0,77319,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
1675373320.2550848,0,77320,0,GPS1_frame,62.33460000000014,22.709600000000137,8.2,1.1,588553.169175402,6912626.046600021,21.0:28.0,34,V
